Organization,Program,Scrum Team,Jira Project Name,Epic Fields,Initiative Fields,All other issue type other than Epic and Initiative
PSSW,PS Solution Enablement Projects,Content Generation 2.0,,,,
PSSW,PS Solution Enablement Projects,Orchestrated Multi-hop Agents with Contextual Memory Modules,,,,
PSSW,PS Solution Enablement Projects,Austin Automation Lab,,,,
PSSW,PS Solution Enablement Projects,Personal Chief of Staff,,,,
PSSW,PS Solution Enablement Projects,P2P Flooding Attack Mitigation for Better Together,,,,
PSSW,PS Solution Enablement Projects,HPWCEM Templates Generator,,,,
PSSW,PS Solution Enablement Projects,Initium,Initium,,,
PSSW,PS Solution Enablement Projects,HP PRO Solution,HP PRO Solution,,,
PSSW,PS Solution Enablement Projects,TIO PSSW Infra,TIO PSSW Infra,,,
PSSW,PS Data Enablement,PS Data Engineering - OMEN,PS OMEN DATA ENG,,,
PSSW,ACS Projects,Team Boost Orchestration,,,,
PSSW,ACS Projects,Team Wolverine,,,,
HPS,Connectors API & Dev Portal,Connectors API & Dev Portal,"WXP SS Connectors, APIs & Dev Portal",Scrum Team,Scrum Team,Scrum Team
PSSW,OnDevice Framework,HPOneAgent,HPOne Windows Agent,,,
PSSW,OnDevice Framework,AI Cloud & ISV Services,HPOne Windows Agent,,,
PSSW,OnDevice Framework,ODF System Integration,QA-AITools,,,
PSSW,OnDevice Framework,Carrera,Carrera,,,
PSSW,OnDevice Framework,PSSW AIServices,LLMS,,,
PSSW,OnDevice Framework,Orion AI,Orion AI - Applied AI/ML Team BR,,,
PSSW,OnDevice Framework,Cloud Services Integration,Orion,,,
HPPS,HPX,HPX AA - JWeb,HPPS App Tech Apple Android,Delivery Teams,Participating TofTs,Scrum Team
HPPS,OneCloud,Nocturne,OneCloud Core Services,Delivery Teams,Participating TofTs,Scrum Team
